"Indicatif","HeureStart","HeureStop","TempsAttentePiste","TempsArretTotal"
5351,64709,65897,0,0
5352,65026,66076,110,0
5353,65146,66357,0,0
5354,65499,66536,75,0
5355,65687,66936,60,0
5356,65975,67115,206,0
5357,66220,67300,0,0
5358,66458,67419,26,0
5360,66932,67897,0,0
5359,66748,68076,146,0
5362,67410,68338,0,0
5361,67276,68527,60,0
5364,67883,68846,0,0
5363,67799,68977,0,0
5366,68361,69315,0,0
5365,68342,69506,0,0
5367,68833,69854,60,0
5368,68884,70091,0,0
5370,69208,70270,95,0
5369,69135,70449,122,0
5372,69600,70568,11,0
5371,69394,70687,120,0
5373,69633,70866,88,0
5375,69987,70985,51,0
5374,69889,71104,7,0
5376,70136,71321,0,0
5377,70377,71440,92,0
5378,70397,71636,60,0
5380,70762,71815,110,0
5379,70649,71934,98,0
5382,71146,72103,0,0
5381,70907,72222,119,0
5383,71151,72413,60,0
5384,71402,72532,53,0
5385,71537,72711,208,0
5388,71913,72830,14,0
5386,71649,72949,101,0
5387,71913,73128,74,0
5390,72302,73247,23,0
5389,72164,73426,95,0
5391,72371,73581,0,0
5393,72697,73700,71,0
5392,72571,73879,96,0
5394,72763,74058,89,0
5396,73085,74177,146,0
5395,72966,74296,123,0
5397,73160,74415,103,0
5399,73469,74594,174,0
5398,73365,74773,227,0
5400,73583,74892,117,0
5402,73864,75011,205,0
5401,73783,75130,204,0
5403,73985,75249,85,0
5405,74249,75368,186,0
5404,74188,75547,165,0
5406,74399,75666,76,0
5408,74639,75845,239,0
