Indicatif,HeureStart,HeureStop,TempsAttentePiste,TempsArretTotal
3921,51077,52145,106,0
3922,51183,52455,60,0
3923,51530,52634,167,0
3924,51560,52753,82,0
3926,51984,52927,0,0
3925,51941,53132,60,0
3928,52437,53393,0,0
3927,52312,53572,71,0
3930,52887,53820,0,0
3929,52681,53999,106,0
3932,53328,54294,21,0
3931,53068,54413,179,0
3933,53436,54676,60,0
3934,53771,54795,92,0
3935,53824,54940,0,0
3937,54220,55246,60,0
3936,54182,55453,60,0
3938,54611,55572,3,0
3939,54712,55873,0,0
3940,54993,56052,96,0
3942,55370,56340,0,0
3941,55247,56459,10,0
3943,55754,56767,60,0
3944,55806,56988,0,0
3945,56146,57114,0,0
3947,56529,57512,60,0
3946,56349,57631,70,0
3949,56914,57892,60,0
3948,56902,58104,0,0
3950,57303,58272,0,0
3951,57443,58607,0,0
3952,57694,58726,80,0
3954,58141,59142,60,0
3953,57969,59261,80,0
3956,58588,59462,0,0
3955,58362,59581,11,0
3957,58763,59983,35,0
3958,59044,60102,179,0
3960,59499,60435,38,0
3959,59166,60554,179,0
3961,59553,60722,0,0
3963,59941,60895,0,0
3962,59937,61159,60,0
3965,60394,61420,60,0
3964,60330,61539,7,0
3967,60844,61765,0,0
3966,60719,61884,1,0
3969,61297,62234,0,0
3968,61114,62413,130,0
3970,61523,62720,4,0
3971,61691,62839,179,0
3973,62079,63015,0,0
3972,62003,63139,0,0
3974,62477,63442,0,0
3975,62496,63673,0,0
3976,62884,63904,60,0
3977,62961,64031,0,0
3978,63275,64241,0,0
3979,63444,64635,0,0
3980,63676,64814,168,0
3982,64068,65038,0,0
3981,63922,65217,89,0
3984,64464,65422,0,0
3983,64400,65569,0,0
3985,64861,65886,60,0
3986,64879,66046,0,0
3987,65402,66365,0,0
3988,65445,66631,0,0
3989,65938,66968,60,0
3990,66015,67266,60,0
3991,66469,67493,60,0
3992,66577,67815,60,0
3993,67001,68004,60,0
3994,67140,68402,60,0
3995,67532,68521,81,0
3996,67693,68800,0,0
3997,68063,68997,0,0
3998,68243,69438,0,0
3999,68599,69568,0,0
4001,68910,69869,0,0
4000,68799,70048,159,0
4003,69243,70203,0,0
4002,69024,70322,93,0
4004,69263,70471,0,0
4005,69494,70650,24,0
4006,69571,70829,295,0
4007,69712,70948,59,0
4008,69884,71127,281,0
4009,69941,71246,90,0
4011,70203,71365,220,0
4013,70525,71484,38,0
4012,70416,71663,35,0
4015,70850,71782,52,0
4010,70182,71901,505,0
4014,70653,72020,170,0
4018,71180,72199,61,0
4017,71117,72318,100,0
4016,70876,72437,376,0
4019,71336,72556,41,0
4021,71552,72735,2,0
4023,71825,72914,138,0
4020,71502,73033,568,0
4025,72144,73212,101,0
4024,72000,73331,118,0
4022,71768,73450,503,0
4027,72523,73569,83,0
4026,72230,73688,258,0
4028,72580,73807,32,0
4029,72893,73986,258,0
4030,72907,74105,5,0
4032,73257,74224,59,0
4031,73248,74423,0,0
4034,73619,74567,0,0
